build_order,priority,feature_id,feature_name,feature_type,category,source_signal,estimated_matching_equations,article_count,example_equations,source_articles,why_build_it,recommended_inputs,recommended_outputs,recommended_backend,recommended_ui,first_mvp_scope,depends_on,status
1,P0,article-equation-tool-router,Article Equation-to-Tool Router,calculator/backlog,Workbench infrastructure,calculator-backlog-csv,14522,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,Map each article’s equations to the most relevant calculator modules and hide irrelevant tools.,"post_slug, equation class, suggested_domain, existing suggested_tools","article tool profile, ordered recommendations, shortcode mode='auto' output",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Use the CSV registry to build reusable article profiles.,feature-builder-dashboard,proposed
2,P0,equation-registry-cleaner,Equation Registry Cleaner and Feature Builder,calculator/backlog,Workbench infrastructure,calculator-backlog-csv,6342,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,"Clean, deduplicate, classify, and export equations from WordPress for future tools.","equation_raw, equation_normalized, post_slug, context_before, context_after","clean equation table, duplicates, equation classes, suggested calculators, CSV/JSON export",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,This should remain the foundation layer for building article-aware calculators.,feature-builder-dashboard,proposed
3,P0,economics-systems-policy-calculator,"Economics, Welfare, and Policy Systems Calculator",calculator/backlog,Economics,calculator-backlog-csv,3604,,y=f(x;\theta); Y\sim P(y\mid\theta); x+y=y+x,,"Model prosperity beyond GDP, welfare tradeoffs, inequality, institutional quality, and ecological cost.","economic output, health, education, ecological degradation, institutions, inequality weights","prosperity score, fragility score, tradeoff plot, policy interpretation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,The registry shows many economics/welfare composite equations.,feature-builder-dashboard,proposed
4,P0,weighted-composite-index-builder,Weighted Composite Index Builder,calculator/module,Decision science / indicators,equation-registry-pattern,3021,1171,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; \Delta S=\int_{t_0}^{t_1}\big(I(t)-O(t)\big)\,dt ; A\approx \sum_{i=1}^{n}F_i\Delta t_i","Rotational Dynamics, Torque, and Angular Momentum | General Relativity: Geometry, Gravity, and Spacetime Curvature | Quantum Field Theory I: Fields, Particles, and Second Quantization | Chemical Thermodynamics and Energetics | Cosmology and the Large-Scale Structure of the Universe","Build indices for prosperity, resilience, policy coherence, content completeness, governance capacity, and risk.","weights, indicators, normalization method, penalty terms","score, components, sensitivity plot, ranking, interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
5,P0,electrical-rf-power-design-tool,"Electrical, RF, and Power Design Tool",calculator/module,Electrical / RF / power,equation-registry-pattern,2821,1125,C_i = \frac{Q_i}{6} ; S_i = \frac{E_i}{Q_i} ; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; A\approx \sum_{i=1}^{n}F_i\Delta t_i,"Lambda Calculus, Functions, and Formal Computation: How Functions Define Computation | Eigenvalues, Eigenvectors, and System Modes: How Linear Algebra Reveals System Behavior | Stability Analysis with Eigenvalues: How Linear Algebra Detects Decay, Amplification, and Equilibriu | Cosmology and the Large-Scale Structure of the Universe | Physics-Informed Machine Learning and Scientific Computing","Support circuits, impedance, filters, RF, antenna, link budgets, and power systems.","frequency, impedance, voltage/current, gains/losses, distance","wavelength, impedance checks, link budget, safety notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
6,P0,weighted-index-builder,Weighted Index and Composite Score Builder,calculator/backlog,Decision science / indicators,calculator-backlog-csv,2144,,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},,"Build composite indicators from weighted components for prosperity, resilience, policy coherence, and governance.","component names, scores, weights, normalization method","index score, component ranking, radar/bar graph, sensitivity to weights",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Directly fits many Sustainable Catalyst equation forms.,feature-builder-dashboard,proposed
7,P0,predictive-forecasting-suite,Predictive Analytics Forecasting Suite,calculator/backlog,Predictive analytics,calculator-backlog-csv,2126,,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; y=f(x;\theta); I_t = \alpha + \beta_1 E_t + \beta_2 U_t + \beta_3 R_t - \beta_4(E_t - U_t)^2 + \varepsilon_t,,"Forecast trends, compare scenarios, inspect model fit, and evaluate uncertainty.","time series, target variable, predictors, forecast horizon, validation split","forecast graph, intervals, residual diagnostics, model comparison",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Should be a major Workbench pillar, not a minor statistics tab.",feature-builder-dashboard,proposed
8,P0,environmental-monitoring-threshold-tool,Environmental Monitoring Threshold and QA/QC Tool,calculator/backlog,Environmental monitoring,calculator-backlog-csv,949,,"y=f(x;\theta); \frac{dx}{dt}=f(x,t,\theta); x_{t+1}=f(x_t,\theta)",,"Evaluate sensor series, thresholds, exceedances, outliers, missing data, and monitoring quality.","time series, sensor metadata, thresholds, units, site labels","QA flags, exceedance chart, trend summary, CSV report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Keep this heavy and serious for global-impact use.,feature-builder-dashboard,proposed
9,P0,recurrence-dynamics-calculator,Discrete-Time Recurrence and Feedback Calculator,calculator/backlog,Systems modeling,calculator-backlog-csv,850,,"H_{t+1} = u(H_t, E_{t+1}); x_{t+1}=f(x_t,\theta); X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t",,"Simulate discrete-time updates, feedback response, compounding growth, and constrained dynamics.","x0, update rule, parameters, number of steps, constraints","iteration table, trajectory graph, stability hints, exportable scenario report",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,"Useful across systems thinking, economics, ecology, resilience, and algorithms.",feature-builder-dashboard,proposed
10,P0,ode-phase-stability-tool,"ODE, Phase Plane, and Stability Analyzer",calculator/backlog,Differential equations,calculator-backlog-csv,732,,"\frac{dx}{dt}=f(x,t,\theta); \frac{dS}{dt}=F(t); \frac{dS}{dt}=I(t)-O(t)",,"Solve and visualize ordinary differential equations, equilibria, and stability behavior.","ODE expression, initial values, parameters, time span","solution graph, phase portrait, equilibrium points, stability interpretation",Use existing Workbench backend runner; promote to dedicated engine when stable.,Compact Workbench calculator form + graph/report exports,Build on existing differential equation simulator but make it article-aware.,feature-builder-dashboard,proposed
