post_slug,post_title,post_type,permalink,equation_count,display_equation_count,inline_equation_count,top_domains,top_tools,recommended_feature_stack,example_equations
systemic-risk-feedback-loops-cascading-failures-ai-systems,"Systemic Risk, Feedback Loops, and Cascading Failures in AI Systems",post,https://sustainablecatalyst.com/systemic-risk-feedback-loops-cascading-failures-ai-systems/,57,25,32,"Risk, Resilience, and Global Impact | Engineering | Environmental Monitoring | Electrical, RF, and Power Systems",systems-modeling-tool | limits-to-growth-system-dynamics-tool | decision-analysis-tool | global-impact-assessment-matrix | mechanical-systems-engineering-tool | structural-engineering-tool | environmental-monitoring-qaqc-tool | environmental-science-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"Risk_{\mathrm{systemic}} \neq Risk_{\mathrm{local}} ; C_t = \frac{1}{\tau_{\mathrm{response}}} ; Efficiency - Slack = Fragility ; x_{t+1}=F(x_t,a_t) ; a_{t+1}=M(x_{t+1})"
sequences-series-and-the-logic-of-convergence,"Sequences, Series, and the Logic of Convergence: How Calculus Tests Infinite Processes",post,https://sustainablecatalyst.com/sequences-series-and-the-logic-of-convergence/,46,25,21,"Mathematical Modeling | Systems Modeling | Electrical, RF, and Power Systems | Engineering",systems-modeling-tool | limits-to-growth-system-dynamics-tool | systems-thinking-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | mechanical-systems-engineering-tool | structural-engineering-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,"a_1, a_2, a_3,\ldots,a_n,\ldots ; \lim_{n\to\infty}a_n=L ; \sum_{n=1}^{\infty}a_n ; S_{n+1}=S_n+F_n\Delta t ; x_{n+1}=r x_n(1-x_n)"
speech-recognition-and-multimodal-ai-systems,Speech Recognition and Multimodal AI Systems,post,https://sustainablecatalyst.com/speech-recognition-and-multimodal-ai-systems/,45,25,20,"Electrical, RF, and Power Systems | Mathematical Modeling | Engineering | Risk, Resilience, and Global Impact",electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | systems-modeling-tool | systems-thinking-tool | energy-systems-calculator | climate-change-scenario-tool | decision-analysis-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"\hat{y} = \arg\max_y P(y \mid x(t)) ; X(\tau,\omega) = \int_{-\infty}^{\infty} x(t)w(t-\tau)e^{-i\omega t}\,dt ; S(\tau,\omega) = |X(\tau,\omega)|^2 ; x_{1:T} \rightarrow y_{1:U} ; P(y \mid x) = \sum_{\pi \in \mathcal{B}^{-1}(y)} P(\pi \mid x)"
rules-of-differentiation-and-model-structure,Rules of Differentiation and Model Structure: How Calculus Reveals System Relationships,post,https://sustainablecatalyst.com/rules-of-differentiation-and-model-structure/,40,25,15,"Electrical, RF, and Power Systems | Engineering | Health and Clinical Research | Energy and Climate",energy-systems-calculator | climate-change-scenario-tool | mechanical-systems-engineering-tool | structural-engineering-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | electronics-engineering-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,\frac{d}{dx}c=0 ; \frac{d}{dx}x^n=nx^{n-1} ; \frac{d}{dx}\left[c f(x)\right]=c f'(x) ; \frac{d}{dx}\left[f(x)+g(x)\right]=f'(x)+g'(x) ; \frac{d}{dx}\left[f(x)g(x)\right]=f'(x)g(x)+f(x)g'(x)
the-product-rule-and-interaction-effects,The Product Rule and Interaction Effects: How Calculus Models Combined System Change,post,https://sustainablecatalyst.com/the-product-rule-and-interaction-effects/,40,25,15,"Electrical, RF, and Power Systems | Engineering | Health and Clinical Research | Energy and Climate",energy-systems-calculator | climate-change-scenario-tool | mechanical-systems-engineering-tool | structural-engineering-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | electronics-engineering-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,\frac{d}{dx}c=0 ; \frac{d}{dx}x^n=nx^{n-1} ; \frac{d}{dx}\left[c f(x)\right]=c f'(x) ; \frac{d}{dx}\left[f(x)+g(x)\right]=f'(x)+g'(x) ; \frac{d}{dx}\left[f(x)g(x)\right]=f'(x)g(x)+f(x)g'(x)
computational-physics-and-scientific-simulation,Computational Physics and Scientific Simulation,post,https://sustainablecatalyst.com/computational-physics-and-scientific-simulation/,39,25,14,"Energy and Climate | Engineering | Electrical, RF, and Power Systems | Mathematical Modeling",energy-systems-calculator | climate-change-scenario-tool | mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | systems-modeling-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"\frac{\partial T}{\partial t} = \alpha \frac{\partial^2 T}{\partial x^2} ; x_{n+1} = \Phi_{\Delta t}(x_n) ; \frac{du}{dx} \approx \frac{u_{i+1}-u_i}{\Delta x} ; \frac{d^2u}{dx^2} \approx \frac{u_{i+1}-2u_i+u_{i-1}}{\Delta x^2} ; \frac{d\mathbf{x}}{dt} = \mathbf{F}(\mathbf{x},t)"
thermodynamics-and-the-physics-of-heat,Thermodynamics and the Physics of Heat,post,https://sustainablecatalyst.com/thermodynamics-and-the-physics-of-heat/,37,25,12,"Engineering | Electrical, RF, and Power Systems | Energy and Climate | Environmental Monitoring",mechanical-systems-engineering-tool | structural-engineering-tool | energy-systems-calculator | climate-change-scenario-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | environmental-monitoring-qaqc-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,dU = \delta Q - \delta W ; dS = \frac{\delta Q_{\mathrm{rev}}}{T} ; dS \geq \frac{\delta Q}{T} ; \Delta S_{\mathrm{isolated}} \geq 0 ; H = U + PV
mathematical-thinking-category-level-abstraction,Mathematical Thinking and Category-Level Abstraction,post,https://sustainablecatalyst.com/mathematical-thinking-category-level-abstraction/,36,25,11,"Mathematical Modeling | Electrical, RF, and Power Systems | Engineering | Risk, Resilience, and Global Impact",systems-modeling-tool | systems-thinking-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | mechanical-systems-engineering-tool | structural-engineering-tool | decision-analysis-tool,equation-explainer | systems-modeling-tool | scenario-simulation | engineering-estimator | unit-and-safety-check,"\text{category-level abstraction}=\text{objects}+\text{morphisms}+\text{composition}+\text{structure} ; A \xrightarrow{f} B \xrightarrow{g} C ; \mathcal{C}=(\mathrm{Ob}(\mathcal{C}),\mathrm{Hom}_{\mathcal{C}},\circ,\mathrm{id}) ; h\circ(g\circ f)=(h\circ g)\circ f ; f\circ \mathrm{id}_A=f=\mathrm{id}_B\circ f"
model-validation-benchmarking-generalization-theory,"Model Validation, Benchmarking, and Generalization Theory",post,https://sustainablecatalyst.com/model-validation-benchmarking-generalization-theory/,34,25,9,"Electrical, RF, and Power Systems | Environmental Monitoring | Health and Clinical Research | Engineering",electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | decision-analysis-tool | global-impact-assessment-matrix | regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,"f:X\rightarrow Y ; R(f)=E[L(f(x),y)] ; \hat{R}_n(f)=\frac{1}{n}\sum_{i=1}^{n}L(f(x_i),y_i) ; G(f)=R(f)-\hat{R}_n(f) ; P(R(f)\leq \epsilon)\geq 1-\delta"
python-for-chemistry-simulation-and-laboratory-data,"Python for Chemistry, Simulation, and Laboratory Data",post,https://sustainablecatalyst.com/python-for-chemistry-simulation-and-laboratory-data/,34,25,9,"Mathematical Modeling | Systems Modeling | Electrical, RF, and Power Systems | Environmental Monitoring",systems-modeling-tool | limits-to-growth-system-dynamics-tool | systems-thinking-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | regression-analyzer | predictive-analytics-forecasting-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,X \in \mathbb{R}^{n \times p} ; y = mx + b ; x = \frac{y-b}{m} ; C(t) = C_0 e^{-kt} ; \ln C(t) = \ln C_0 - kt
differential-equations-and-dynamic-models,Differential Equations and Dynamic Models: How Mathematical Models Represent Change,post,https://sustainablecatalyst.com/differential-equations-and-dynamic-models/,55,24,31,"Electrical, RF, and Power Systems | Health and Clinical Research | Engineering | Mathematical Modeling",systems-modeling-tool | limits-to-growth-system-dynamics-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | mechanical-systems-engineering-tool | structural-engineering-tool | economics-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | engineering-estimator | unit-and-safety-check,"\frac{dx}{dt}=f(x,t,\theta) ; \frac{dS}{dt}=I(t)-O(t) ; \frac{dx}{dt}=f(x,t) ; \frac{dN}{dt}=rN ; \frac{dN}{dt}=rN\left(1-\frac{N}{K}\right)"
lambda-calculus-functions-and-formal-computation,"Lambda Calculus, Functions, and Formal Computation: How Functions Define Computation",post,https://sustainablecatalyst.com/lambda-calculus-functions-and-formal-computation/,47,24,23,"Mathematical Modeling | Electrical, RF, and Power Systems | Systems Modeling | Risk, Resilience, and Global Impact",systems-modeling-tool | systems-thinking-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | mechanical-systems-engineering-tool | structural-engineering-tool | limits-to-growth-system-dynamics-tool,equation-explainer | systems-modeling-tool | scenario-simulation | engineering-estimator | unit-and-safety-check,e ::= x \mid \lambda x.e \mid e_1\ e_2 ; \lambda x.x ; \lambda f.\lambda x.f(x) ; (\lambda x.x)\ a ; (\lambda x.x)\ a \rightarrow a
deep-learning-systems-representation-scale-generalization,"Deep Learning Systems: Representation, Scale, and Generalization",post,https://sustainablecatalyst.com/deep-learning-systems-representation-scale-generalization/,43,24,19,"Environmental Monitoring | Mathematical Modeling | Electrical, RF, and Power Systems | Predictive Analytics",decision-analysis-tool | global-impact-assessment-matrix | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | systems-modeling-tool | environmental-monitoring-qaqc-tool | environmental-science-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,Deep\ Learning = Representation + Scale + Optimization + Infrastructure ; f_\theta:\mathbb{R}^{n}\rightarrow\mathbb{R}^{m} ; h_{\ell+1}=\phi_{\ell}(h_\ell;\theta_\ell) ; f(x)=f_L\circ f_{L-1}\circ \cdots \circ f_1(x) ; \mathcal{L}(N) \approx aN^{-\alpha}+b
chemical-thermodynamics-energetics,Chemical Thermodynamics and Energetics,post,https://sustainablecatalyst.com/chemical-thermodynamics-energetics/,37,24,13,"Engineering | Energy and Climate | Electrical, RF, and Power Systems | Environmental Monitoring",energy-systems-calculator | climate-change-scenario-tool | mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | environmental-monitoring-qaqc-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,\Delta X = X_2 - X_1 ; \Delta U = q + w ; w = -P_{\mathrm{ext}}\Delta V ; H = U + pV ; q_p = \Delta H
probabilistic-and-stochastic-models,Probabilistic and Stochastic Models: How Mathematical Models Represent Uncertainty,post,https://sustainablecatalyst.com/probabilistic-and-stochastic-models/,36,24,12,"Electrical, RF, and Power Systems | Risk, Resilience, and Global Impact | Environmental Monitoring | Mathematical Modeling",decision-analysis-tool | global-impact-assessment-matrix | systems-modeling-tool | limits-to-growth-system-dynamics-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | economics-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,"y=f(x,\theta) ; Y\sim P(Y\mid x,\theta) ; X\sim \mathcal{D}(\theta) ; \mathbb{E}[X]=\sum_x x\,P(X=x) ; \mathrm{Var}(X)=\mathbb{E}[(X-\mathbb{E}[X])^2]"
data-governance-provenance-lineage-ai-systems,"Data Governance, Provenance, and Lineage in AI Systems",post,https://sustainablecatalyst.com/data-governance-provenance-lineage-ai-systems/,50,23,27,"Environmental Monitoring | Risk, Resilience, and Global Impact | Mathematical Modeling | Systems Modeling",environmental-monitoring-qaqc-tool | environmental-science-calculator | systems-modeling-tool | decision-analysis-tool | global-impact-assessment-matrix | limits-to-growth-system-dynamics-tool | regression-analyzer | predictive-analytics-forecasting-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"Trustworthy\ AI = Governed\ Data + Traceable\ Pipelines + Accountable\ Models ; G_D=(P,R,S,C,M,A) ; Entity_{\mathrm{out}} \leftarrow Activity ; Activity \leftarrow Entity_{\mathrm{in}} ; Entity \leftarrow Agent"
continuous-time-epidemiological-models,Continuous-Time Epidemiological Models,post,https://sustainablecatalyst.com/continuous-time-epidemiological-models/,38,23,15,Systems Modeling | Health and Clinical Research | Mathematical Modeling | Environmental Monitoring,systems-modeling-tool | limits-to-growth-system-dynamics-tool | decision-analysis-tool | global-impact-assessment-matrix | clinical-research-calculator | health-and-medical-public-health-analytics-tool | systems-thinking-tool | environmental-monitoring-qaqc-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,\frac{dX}{dt}=\text{inflows}-\text{outflows} ; N(t)=S(t)+E(t)+I(t)+R(t) ; \frac{dS}{dt}=-\beta\frac{SI}{N} ; \frac{dI}{dt}=\beta\frac{SI}{N}-\gamma I ; \frac{dR}{dt}=\gamma I
real-time-ai-systems-autonomous-decision-making,Real-Time AI Systems and Autonomous Decision-Making,post,https://sustainablecatalyst.com/real-time-ai-systems-autonomous-decision-making/,38,23,15,"Environmental Monitoring | Mathematical Modeling | Risk, Resilience, and Global Impact | Engineering",environmental-monitoring-qaqc-tool | environmental-science-calculator | systems-modeling-tool | limits-to-growth-system-dynamics-tool | mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator | rf-and-antenna-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"Offline\ Accuracy \neq Real\text{-}Time\ Feasibility ; S_{\mathrm{RTAI}}=(X,M,I,P,C,A,G) ; Real\text{-}Time\ Intelligence = Correctness + Timeliness + Stability + Accountability ; L_{\mathrm{total}}=L_{\mathrm{sense}}+L_{\mathrm{pre}}+L_{\mathrm{infer}}+L_{\mathrm{plan}}+L_{\mathrm{act}} ; L_{\mathrm{total}}\leq D"
electromagnetism-and-the-unification-of-fields,Electromagnetism and the Unification of Fields,post,https://sustainablecatalyst.com/electromagnetism-and-the-unification-of-fields/,37,23,14,"Electrical, RF, and Power Systems | Engineering | Mathematical Modeling | Predictive Analytics",electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | systems-modeling-tool | mechanical-systems-engineering-tool | structural-engineering-tool | energy-systems-calculator | climate-change-scenario-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,\mathbf{F} = q(\mathbf{E} + \mathbf{v}\times\mathbf{B}) ; \oint \mathbf{E}\cdot d\mathbf{l} = -\frac{d\Phi_B}{dt} ; \mathbf{S} = \mathbf{E}\times\mathbf{H} ; \mathbf{S} = \frac{1}{\mu_0}\mathbf{E}\times\mathbf{B} ; \mathbf{D} = \epsilon \mathbf{E}
constrained-optimization-and-lagrange-multipliers,Constrained Optimization and Lagrange Multipliers,post,https://sustainablecatalyst.com/constrained-optimization-and-lagrange-multipliers/,36,23,13,"Engineering | Electrical, RF, and Power Systems | Health and Clinical Research",mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | energy-systems-calculator | climate-change-scenario-tool | systems-modeling-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | engineering-estimator | unit-and-safety-check,"\text{optimize } f(\mathbf{x}) \quad \text{subject to } g(\mathbf{x})=c ; \min_{\mathbf{x}} f(\mathbf{x}) \quad \text{subject to} \quad g(\mathbf{x})=0 ; \min_{x,y} f(x,y) \quad \text{subject to} \quad g(x,y)=0 ; \nabla f(\mathbf{x})=\mathbf{0} ; \nabla f(\mathbf{x}^*)=\lambda \nabla g(\mathbf{x}^*)"
functions-of-several-variables,Functions of Several Variables: Multivariable Calculus for Systems Modeling,post,https://sustainablecatalyst.com/functions-of-several-variables/,36,23,13,"Electrical, RF, and Power Systems | Engineering | Health and Clinical Research | Risk, Resilience, and Global Impact",decision-analysis-tool | global-impact-assessment-matrix | mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"z=f(x,y) ; u=f(x_1,x_2,\ldots,x_n) ; f:\mathbb{R}^2\to\mathbb{R} ; f:\mathbb{R}^n\to\mathbb{R} ; f(x,y)=3x+2y+0.5xy"
taylor-and-maclaurin-series-in-modeling,Taylor and Maclaurin Series: Local Approximation in Mathematical Modeling,post,https://sustainablecatalyst.com/taylor-and-maclaurin-series-in-modeling/,44,22,22,"Mathematical Modeling | Health and Clinical Research | Economics | Risk, Resilience, and Global Impact",systems-modeling-tool | systems-thinking-tool | clinical-research-calculator | health-and-medical-public-health-analytics-tool | limits-to-growth-system-dynamics-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,f(x)\approx f(a)+f'(a)(x-a)+\frac{f''(a)}{2!}(x-a)^2+\frac{f'''(a)}{3!}(x-a)^3+\cdots ; f(x)=\sum_{n=0}^{\infty}\frac{f^{(n)}(a)}{n!}(x-a)^n ; T_N(x)=\sum_{n=0}^{N}\frac{f^{(n)}(a)}{n!}(x-a)^n ; f(x)=\sum_{n=0}^{\infty}\frac{f^{(n)}(0)}{n!}x^n ; e^x=1+x+\frac{x^2}{2!}+\frac{x^3}{3!}+\cdots
electronic-structure-quantum-foundations-chemistry,Electronic Structure and the Quantum Foundations of Chemistry,post,https://sustainablecatalyst.com/electronic-structure-quantum-foundations-chemistry/,42,22,20,"Astrophysics and Aerospace | Electrical, RF, and Power Systems | Energy and Climate | Mathematical Modeling",rocket-science-and-orbital-mechanics-calculator | astrophysics-research-calculator | energy-systems-calculator | climate-change-scenario-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | mechanical-systems-engineering-tool,equation-explainer | systems-modeling-tool | scenario-simulation | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"E_n = -\frac{13.6\ \mathrm{eV}}{n^2} ; \Delta E = h\nu ; \rho(\mathbf{r}) \propto |\psi(\mathbf{r})|^2 ; n = 1,2,3,\ldots ; l = 0,1,2,\ldots,n-1"
vector-valued-functions-and-motion,Vector-Valued Functions and Motion,post,https://sustainablecatalyst.com/vector-valued-functions-and-motion/,41,22,19,Engineering | Mathematical Modeling | Energy and Climate,mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | decision-analysis-tool | global-impact-assessment-matrix | limits-to-growth-system-dynamics-tool | energy-systems-calculator | climate-change-scenario-tool,equation-explainer | systems-modeling-tool | scenario-simulation | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"y=f(t) ; \mathbf{r}(t)=\langle x(t),y(t),z(t)\rangle ; \mathbf{r}(t)=\langle x(t),y(t)\rangle ; \mathbf{r}(t)=\langle \cos t,\sin t\rangle,\qquad 0\leq t\leq 2\pi ; \mathbf{q}(t)=\langle \cos(2t),\sin(2t)\rangle,\qquad 0\leq t\leq 2\pi"
economic-growth-and-adjustment-models,Economic Growth and Adjustment Models,post,https://sustainablecatalyst.com/economic-growth-and-adjustment-models/,40,22,18,Engineering | Economics | Health and Clinical Research | Energy and Climate,economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | limits-to-growth-system-dynamics-tool | decision-analysis-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,\frac{dY}{dt}=gY ; K(t)=K(0)+\int_0^t\left(I(\tau)-\delta K(\tau)\right)d\tau ; g_Y(t)=\frac{1}{Y(t)}\frac{dY}{dt} ; Y(t)=Y_0e^{gt} ; T_{\text{double}}\approx \frac{\ln 2}{g}
predator-prey-systems,Predator-Prey Systems,post,https://sustainablecatalyst.com/predator-prey-systems/,39,22,17,Systems Modeling | Mathematical Modeling | Environmental Monitoring | Health and Clinical Research,systems-modeling-tool | limits-to-growth-system-dynamics-tool | systems-thinking-tool | environmental-monitoring-qaqc-tool | environmental-science-calculator | mechanical-systems-engineering-tool | structural-engineering-tool | electronics-engineering-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"\frac{dx}{dt}=f(x,y),\qquad \frac{dy}{dt}=g(x,y) ; x=x(t),\qquad y=y(t) ; \frac{dx}{dt}=\alpha x-\beta xy ; \frac{dy}{dt}=\delta xy-\gamma y ; \text{encounter term}=\beta xy"
systems-of-differential-equations,Systems of Differential Equations,post,https://sustainablecatalyst.com/systems-of-differential-equations/,39,22,17,"Systems Modeling | Electrical, RF, and Power Systems | Mathematical Modeling | Environmental Monitoring",systems-modeling-tool | limits-to-growth-system-dynamics-tool | electronics-engineering-calculator | rf-and-antenna-calculator | power-systems-engineering-tool | regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"\frac{d\mathbf{x}}{dt}=\mathbf{F}(\mathbf{x},t) ; \mathbf{x}(t)= \begin{bmatrix} x_1(t)\\ x_2(t)\\ \vdots\\ x_n(t) \end{bmatrix} ; \frac{d\mathbf{x}}{dt}= \begin{bmatrix} \frac{dx_1}{dt}\\ \frac{dx_2}{dt}\\ \vdots\\ \frac{dx_n}{dt} \end{bmatrix} ; \frac{dx}{dt}=f(x,y,t) ; \frac{dy}{dt}=g(x,y,t)"
multiple-integrals-and-spatial-accumulation,Multiple Integrals and Spatial Accumulation,post,https://sustainablecatalyst.com/multiple-integrals-and-spatial-accumulation/,38,22,16,"Energy and Climate | Environmental Monitoring | Electrical, RF, and Power Systems | Engineering",decision-analysis-tool | global-impact-assessment-matrix | energy-systems-calculator | climate-change-scenario-tool | environmental-monitoring-qaqc-tool | environmental-science-calculator | mechanical-systems-engineering-tool | structural-engineering-tool,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,"\text{Total quantity}=\int_{\text{region}}\text{local density}\,d(\text{region}) ; \int_a^b f(x)\,dx ; \iint_R f(x,y)\,dA ; \iiint_V f(x,y,z)\,dV ; R=[a,b]\times[c,d]"
financial-dynamics-and-continuous-compounding,Financial Dynamics and Continuous Compounding,post,https://sustainablecatalyst.com/financial-dynamics-and-continuous-compounding/,37,22,15,"Electrical, RF, and Power Systems | Risk, Resilience, and Global Impact | Economics | Health and Clinical Research",systems-modeling-tool | limits-to-growth-system-dynamics-tool | economics-calculator | economics-forecasting-and-scenario-tool | econometrics-and-policy-model-tool | decision-analysis-tool | global-impact-assessment-matrix | electronics-engineering-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check | policy-economics-scorecard | tradeoff-analysis,"\frac{dV}{dt}=rV ; V(t)=V(0)+\int_0^t \frac{dV}{d\tau}\,d\tau ; V(t)=V_0(1+rt) ; V(t)=V_0\left(1+\frac{r}{n}\right)^{nt} ; V(t)=V_0e^{rt}"
machine-learning-and-linear-algebra,"Machine Learning and Linear Algebra: How Vectors, Matrices, and Optimization Shape Learned Models",post,https://sustainablecatalyst.com/machine-learning-and-linear-algebra/,36,22,14,"Predictive Analytics | Mathematical Modeling | Electrical, RF, and Power Systems | Engineering",regression-analyzer | predictive-analytics-forecasting-tool | time-series-diagnostics-tool | mechanical-systems-engineering-tool | structural-engineering-tool | systems-modeling-tool | electronics-engineering-calculator | rf-and-antenna-calculator,equation-explainer | systems-modeling-tool | scenario-simulation | predictive-modeling | statistical-diagnostics | environmental-monitoring | climate-scenario-analysis | engineering-estimator | unit-and-safety-check,"X= \begin{bmatrix} x_{11} & x_{12} & \cdots & x_{1p}\\ x_{21} & x_{22} & \cdots & x_{2p}\\ \vdots & \vdots & \ddots & \vdots\\ x_{n1} & x_{n2} & \cdots & x_{np} ; X\in\mathbb{R}^{n\times p}, \qquad \mathbf{y}\in\mathbb{R}^{n} ; \mathbf{x}_i= \begin{bmatrix} x_{i1}\\ x_{i2}\\ \vdots\\ x_{ip} \end{bmatrix} ; \hat{y}_i=\mathbf{x}_i^T\mathbf{w}+b ; \hat{\mathbf{y}}=X\mathbf{w}"
