priority,calculator_id,calculator_name,category,estimated_matching_equations,example_equations_from_registry,why_build_it,recommended_inputs,recommended_outputs,implementation_notes
P0,equation-registry-cleaner,Equation Registry Cleaner and Feature Builder,Workbench infrastructure,6342,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},"Clean, deduplicate, classify, and export equations from WordPress for future tools.","equation_raw, equation_normalized, post_slug, context_before, context_after","clean equation table, duplicates, equation classes, suggested calculators, CSV/JSON export",This should remain the foundation layer for building article-aware calculators.
P0,article-equation-tool-router,Article Equation-to-Tool Router,Workbench infrastructure,14522,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},Map each article’s equations to the most relevant calculator modules and hide irrelevant tools.,"post_slug, equation class, suggested_domain, existing suggested_tools","article tool profile, ordered recommendations, shortcode mode='auto' output",Use the CSV registry to build reusable article profiles.
P0,stock-flow-systems-simulator,Stock-Flow and Accumulation Simulator,Systems modeling,351,"x_{t+1}=f(x_t,\theta); X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t; S_{t+1}=S_t+I_t-D_t-L_t","Model stocks, inflows, outflows, depletion, replenishment, leakage, and carrying capacity.","initial stock, inflows, outflows, leakage, capacity, time horizon","time-series graph, scenario table, threshold warnings, sensitivity report","High priority because many equations are stocks, flows, and recurrence relations."
P0,recurrence-dynamics-calculator,Discrete-Time Recurrence and Feedback Calculator,Systems modeling,850,"H_{t+1} = u(H_t, E_{t+1}); x_{t+1}=f(x_t,\theta); X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t","Simulate discrete-time updates, feedback response, compounding growth, and constrained dynamics.","x0, update rule, parameters, number of steps, constraints","iteration table, trajectory graph, stability hints, exportable scenario report","Useful across systems thinking, economics, ecology, resilience, and algorithms."
P0,ode-phase-stability-tool,"ODE, Phase Plane, and Stability Analyzer",Differential equations,732,"\frac{dx}{dt}=f(x,t,\theta); \frac{dS}{dt}=F(t); \frac{dS}{dt}=I(t)-O(t)","Solve and visualize ordinary differential equations, equilibria, and stability behavior.","ODE expression, initial values, parameters, time span","solution graph, phase portrait, equilibrium points, stability interpretation",Build on existing differential equation simulator but make it article-aware.
P0,weighted-index-builder,Weighted Index and Composite Score Builder,Decision science / indicators,2144,C_i = \frac{Q_i}{6}; S_i = \frac{E_i}{Q_i}; B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)},"Build composite indicators from weighted components for prosperity, resilience, policy coherence, and governance.","component names, scores, weights, normalization method","index score, component ranking, radar/bar graph, sensitivity to weights",Directly fits many Sustainable Catalyst equation forms.
P0,predictive-forecasting-suite,Predictive Analytics Forecasting Suite,Predictive analytics,2126,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; y=f(x;\theta); I_t = \alpha + \beta_1 E_t + \beta_2 U_t + \beta_3 R_t - \beta_4(E_t - U_t)^2 + \varepsilon_t,"Forecast trends, compare scenarios, inspect model fit, and evaluate uncertainty.","time series, target variable, predictors, forecast horizon, validation split","forecast graph, intervals, residual diagnostics, model comparison","Should be a major Workbench pillar, not a minor statistics tab."
P0,economics-systems-policy-calculator,"Economics, Welfare, and Policy Systems Calculator",Economics,3604,y=f(x;\theta); Y\sim P(y\mid\theta); x+y=y+x,"Model prosperity beyond GDP, welfare tradeoffs, inequality, institutional quality, and ecological cost.","economic output, health, education, ecological degradation, institutions, inequality weights","prosperity score, fragility score, tradeoff plot, policy interpretation",The registry shows many economics/welfare composite equations.
P0,environmental-monitoring-threshold-tool,Environmental Monitoring Threshold and QA/QC Tool,Environmental monitoring,949,"y=f(x;\theta); \frac{dx}{dt}=f(x,t,\theta); x_{t+1}=f(x_t,\theta)","Evaluate sensor series, thresholds, exceedances, outliers, missing data, and monitoring quality.","time series, sensor metadata, thresholds, units, site labels","QA flags, exceedance chart, trend summary, CSV report",Keep this heavy and serious for global-impact use.
P0,risk-impact-resilience-calculator,"Risk, Impact, and Resilience Matrix Calculator",Risk / resilience,701,"V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H; C_A \leq f(P(H), Q_E, L_R); R = (E, S, C)","Compute risk from probability, consequence, exposure, vulnerability, resilience, and uncertainty.","hazards, probabilities, consequences, exposure, vulnerability, resilience score","risk matrix, ranked risks, sensitivity, mitigation comparison","Central to governance, environmental risk, infrastructure, and global impact."
