priority,feature_id,feature_name,feature_type,category,source_signal,estimated_matching_equations,article_count,example_equations,source_articles,why_build_it,recommended_inputs,recommended_outputs,recommended_backend,recommended_ui,first_mvp_scope,depends_on,status
P0,weighted-composite-index-builder,Weighted Composite Index Builder,calculator/module,Decision science / indicators,equation-registry-pattern,3021,1171,"B_i = 1 - \frac{\sigma(W_i)}{\mu(W_i)} ; R_i = w_1C_i + w_2S_i + w_3B_i + w_4A_i + w_5G_i ; V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; \Delta S=\int_{t_0}^{t_1}\big(I(t)-O(t)\big)\,dt ; A\approx \sum_{i=1}^{n}F_i\Delta t_i","Rotational Dynamics, Torque, and Angular Momentum | General Relativity: Geometry, Gravity, and Spacetime Curvature | Quantum Field Theory I: Fields, Particles, and Second Quantization | Chemical Thermodynamics and Energetics | Cosmology and the Large-Scale Structure of the Universe","Build indices for prosperity, resilience, policy coherence, content completeness, governance capacity, and risk.","weights, indicators, normalization method, penalty terms","score, components, sensitivity plot, ranking, interpretation",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,stock-flow-accumulation-simulator,Stock-Flow and Accumulation Simulator,calculator/module,Systems modeling,equation-registry-pattern,420,194,"X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t ; S_{t+1}=S_t+I_t-D_t-L_t ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; \frac{dS}{dt}=F(t) ; \frac{dS}{dt}=I(t)-O(t)","Discrete Models and Recurrence Relations: How Mathematical Models Represent Stepwise Change | Functional Relationships and Mathematical Structure: How Mathematical Models Define System Behavior | Stocks, Flows, and the Architecture of Change | Reinforcement Learning in Dynamic Environments | Equations, Inequalities, and Model Logic: How Mathematical Models Define What Must Hold","Run stock, flow, depletion, exposure, and accumulation models from site equations.","initial stock, inflow, outflow, decay, time horizon","stock curve, net-flow plot, threshold flags, scenario report",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,recurrence-feedback-simulator,Discrete Recurrence and Feedback Simulator,calculator/module,Systems dynamics,equation-registry-pattern,1278,588,"H_{t+1} = u(H_t, E_{t+1}) ; X_{t+1}=X_t+\text{inflows}_t-\text{outflows}_t ; S_{t+1}=S_t+I_t-D_t-L_t ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; 1+2+\cdots+n=\frac{n(n+1)}{2}",Discrete Models and Recurrence Relations: How Mathematical Models Represent Stepwise Change | Reinforcement Learning in Dynamic Environments | Linear Dynamical Systems: How Linear Algebra Models Change Over Time | Stock-Flow Thinking in Social Systems | Success to the Successful and Systemic Advantage,"Analyze feedback, lag, state-transition, and scenario behavior in discrete time.","initial state, update rule, parameters, horizon","state trajectory, stability screen, sensitivity table",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,ode-phase-stability-workbench,"ODE, Phase Plane, and Stability Workbench",calculator/module,Differential equations,equation-registry-pattern,686,197,\frac{dS}{dt}=F(t) ; \frac{dS}{dt}=I(t)-O(t) ; \frac{dS}{dt}=I(t)-kS(t) ; \frac{dN}{dt}=rN\left(1-\frac{N}{K}\right) ; \frac{dQ}{dt}=r(t),Lagrangian and Hamiltonian Mechanics | Differential Equations and Dynamic Models: How Mathematical Models Represent Change | Differential Equations and Dynamic Systems | Separable Equations and Simple Dynamic Laws | Related Rates and Interdependent Motion: How Calculus Tracks Connected System Change,"Convert continuous dynamics equations into trajectories, equilibria, and stability interpretation.","ODE system, parameters, initial conditions, time horizon","trajectory graph, phase plot, equilibrium/stability notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,predictive-model-diagnostics-suite,Predictive Model Diagnostics Suite,calculator/module,Predictive analytics,equation-registry-pattern,2116,910,V(H) = \alpha E_H + \beta T_H + \gamma A_H - \delta R_H ; I_t = \alpha + \beta_1 E_t + \beta_2 U_t + \beta_3 R_t - \beta_4(E_t - U_t)^2 + \varepsilon_t ; V_{t+1} = V_t - \alpha K_t + \beta A_t - \lambda R_t ; C_{t+1} = C_t + \beta(1 - C_t) ; P_{t+1} = P_t - \alpha S_t + \beta L_t + \gamma C_t + \delta T_t,"Quantum Field Theory I: Fields, Particles, and Second Quantization | Group Theory and Representation Theory in Physics | Phase Transitions, Critical Phenomena, and the Renormalization Group | Orthogonal Decomposition and Structured Approximation: How Linear Algebra Separates Signal, Residual | Singular Value Decomposition: How Linear Algebra Reveals Rank, Stability, and Low-Rank Structure","Support forecasting, regression, residuals, uncertainty, validation, and model interpretation.","dataset, target, predictors, model family, validation split","forecast, residual plot, metrics, uncertainty intervals",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,risk-resilience-impact-matrix,"Risk, Resilience, and Impact Matrix",calculator/module,Risk / resilience,equation-registry-pattern,742,436,"C_A \leq f(P(H), Q_E, L_R) ; R = (E, S, C) ; \text{exposure unit}=\text{intensity unit}\times \text{time unit} ; A_r = P_sw_p + V_sw_v + C_lw_c + S_ow_s + U_ew_u + (1 - H_r)w_h ; R_r = w_1C^{rec}_r + w_2S^{rec}_r + w_3F^{restore}_r","Feedback Loops, Delay, and Instability in Risk Systems | AI Systems in Organizations and Institutions | Cascading Failures in Interdependent Systems | Adaptive Cycles and Panarchy in Social-Ecological Systems | Resilience, Robustness, and Antifragility","Build risk, exposure, vulnerability, consequence, and resilience scorecards.","hazards, likelihoods, consequences, exposures, resilience factors","risk scores, ranking, heatmap, mitigation priority",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,network-cascade-dependency-tool,Network Dependency and Cascade Tool,calculator/module,Graph systems,equation-registry-pattern,612,310,"MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution ; s_i(t+1) = R_i\big(s_i(t),\, N_i(t),\, E(t),\, \theta_i\big) ; N_i(t) = \{j : d(i,j) \leq r\} ; a_i(t)=\frac{1}{|N_i|}\sum_{j\in N_i}x_j(t) ; G=(V,E)","Edge AI and Distributed Intelligence | Semiconductor Physics and Electronic Materials | Collective Action: How Groups Mobilize to Produce Social Change | Network Adjacency Matrices: How Linear Algebra Encodes Connectivity and Relationships | Case Study: Network System Modeling: How Linear Algebra Represents Connection, Flow, and Vulnerabili","Map dependency graphs, cascade risks, centrality, and network resilience.","nodes, edges, weights, failure scenario","network metrics, cascade path, critical nodes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P1,optimization-constraint-solver,Optimization and Constraint Solver,calculator/module,Optimization,equation-registry-pattern,1050,541,"H^* = \arg\max_H P(H \mid O) ; C_A \leq f(P(H), Q_E, L_R) ; S_{t+1}=\min\left(K,\max\left(0,S_t+I_t-D_t-L_t\right)\right) ; \left|\int_{t_0}^{t_1}(I(t)-O(t))\,dt\right|\leq \int_{t_0}^{t_1}|I(t)-O(t)|\,dt\leq \int_{t_0}^{t_1}I(t)\,dt+\int_{t_0}^{t_1}O(t) ; \Delta_r = \max(0, D_r + Z_r - C^{response}_r)","Equations, Inequalities, and Model Logic: How Mathematical Models Define What Must Hold | Optimization Models and Objective Functions: How Mathematical Models Support Better Decisions | Algebraic Models and Static Relationships: How Mathematical Models Connect Variables | Improper Integrals and Unbounded Quantities: How Calculus Handles Infinite Limits and System Extreme | Variables, Parameters, and Constraints: The Building Blocks of Mathematical Models","Evaluate constrained tradeoffs, feasible sets, and objective-function choices.","objective function, constraints, bounds, weights","optimal candidate, feasibility flags, tradeoff graph",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,bayesian-evidence-updater,Bayesian Evidence and Belief Update Tool,calculator/module,Probability / inference,equation-registry-pattern,262,134,"H^* = \arg\max_H P(H \mid O) ; MachineOutput \subseteq OrderedRepresentation + PriorKnowledge + Execution ; R_{workflow} = \sum_{t=1}^{T} P(a_t \mid s_t)\, L(a_t,s_t,G) ; C = P(Review) \times P(Correction \mid \mathrm{Valid\ Challenge}) ; C = P(Notice) \times P(Review) \times P(Remedy \mid \mathrm{Valid\ Challenge})","Probabilistic and Stochastic Models: How Mathematical Models Represent Uncertainty | Bayesian Decision-Making: How to Update Beliefs and Choose Under Uncertainty | Bias, Fairness, and Accountability in Artificial Intelligence | Probabilistic Machine Learning and Bayesian AI Systems | Causal Inference and Experimental Design in AI Systems","Support Bayesian evidence, priors, likelihoods, posteriors, and uncertainty interpretation.","prior, likelihood/evidence, observations","posterior estimate, odds update, evidence sensitivity",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
P2,causal-counterfactual-estimator,Causal Effect and Counterfactual Estimator,calculator/module,Causal inference,equation-registry-pattern,278,185,R_{\text{residual}} = R_{\text{initial}} - R_{\text{mitigated}} ; Generated\ Hypothesis \rightarrow Testable\ Claim \rightarrow Evidence \rightarrow Scientific\ Knowledge ; AI\text{-}Generated\ Result \neq Scientific\ Claim ; R_{\mathrm{residual}}=R_{\mathrm{inherent}}-R_{\mathrm{mitigated}} ; Ingest \rightarrow Validate \rightarrow Transform \rightarrow Featureize \rightarrow Train,Causal Inference and Experimental Design in AI Systems | Edge AI and Distributed Intelligence | Economics of AI Systems and Platform Power | Mathematical Thinking and AI-Assisted Discovery | Knowledge Representation and Artificial Reasoning,"Analyze potential outcomes, counterfactual logic, treatment/control comparisons, and causal claims.","treated outcomes, control outcomes, assumptions, covariates","effect estimate, assumptions checklist, sensitivity notes",Python/FastAPI first; optional R/Julia/Haskell/C++ adapters for specialized methods,Workbench compact form + graph panel + JSON/PDF export,"Build a deterministic estimator/simulator with sample inputs, validation warnings, and report output.",equation-registry-cleaner | article-equation-tool-router,proposed
